µãºÅ,×Ý×ø±êX,ºá×ø±êY
1,4096159.372,432711.531
2,4085345.805,429712.955
3,4078657.546,390430.431
4,4080340.389,397343.475
5,4075033.214,410762.479
6,4075566.904,419787.453
7,4073252.343,425030.474
8,4079271.41,429383.681
9,4076297.183,384131.091
10,4070152.148,396204.611
11,4066816.664,412860.359
12,4060349.362,412240.634
13,4064440.791,433495.283
14,4062789.626,439449.841
15,4065370.199,363669.41
16,4064335.091,374828.478
17,4066348.29,382241.202
18,4063862.318,388485.801
19,4059620.867,428847.452
20,4051877.472,430546.779
21,4054803.862,432931.424
22,4052835.927,438381.463
23,4055193.879,443006.27
24,4057348.29,376458.993
25,4057690.907,390128.912
26,4044639.361,408453.002
27,4040166.272,411627.417
28,4040583.031,419282.642
29,4046124.246,427178.277
30,4042825.013,437165.911
31,4053613.941,352839.339
32,4048596.467,365478.899
33,4048346.847,370286.949
34,4041289.445,380958.232
35,4046533.259,384726.067
36,4040114.099,390444.242
37,4030818.666,400474.028
38,4034147.318,404187.115
39,4033575.368,409970.487
40,4025170.698,409575.652
41,4030356.762,419210.435
42,4023408.011,425043.294
43,4021391.943,433765.387
44,4032705.989,439465.181
45,4027302.519,442913.204
46,4030297.345,450072.801
47,4038482.714,351422.836
48,4042378.163,355863.283
49,4043277.154,360785.665
50,4033206.33,370042.554
51,4035004.443,374665.338
52,4027665.541,353515.94
53,4021526.999,365805.832
54,4023249.48,381347.779
55,4019530.135,397152.345
56,4019640.504,406346.771
57,4017650.68,417873.18
58,4014292.951,367441.144
59,4013261.588,376851.382
60,4017710.489,387299.408
61,4014032.314,394140.495
62,4010170.113,402131.282
63,4011986.497,409626.123
64,4009536.236,420998.277
65,4009972.205,428100.499
66,4020321.892,441615.289
67,4007968.999,363312.322
68,4006235.712,375107.6
69,4007196.356,388773.257
70,3998191.853,369769.787
71,3999742.995,372587.849
72,4000891.328,379315.748
73,4000149.621,399060.612
74,3991641.851,365222.307
75,3993181.395,380985.269
76,3995690.39,389121.751
77,3994159.651,396685.838
78,3994875.087,401572.925
79,3988348.301,360300.314
80,3984067.037,368617.16
81,3985279.126,377523.553
82,3977947.639,357895.886
83,3977164.036,362257.745
84,3978620.199,367202.103
85,3973737.841,355549.546
